date,P_Kweek_-2_Kday_-4_ETE_60_ORD_61_EXT_72_E2Ekor_69_EXTkor_59_DIFF_26,a,b,c,d,e
Sat Apr 18 09:00:00 UTC 2026,790.9148099999875,null,null,null,null,1316.9659048904987
Sat Apr 18 10:00:00 UTC 2026,790.9148099999875,null,null,null,null,1319.6410873722502
Sat Apr 18 11:00:00 UTC 2026,790.9148099999875,null,null,null,null,1322.316269854002
Sat Apr 18 12:00:00 UTC 2026,790.9148099999875,null,null,null,null,1324.9914523357538
Sat Apr 18 13:00:00 UTC 2026,790.9148099999875,null,null,null,null,1327.6666348175058
Sat Apr 18 14:00:00 UTC 2026,790.9148099999875,null,null,null,null,1330.3418172992576
Sat Apr 18 15:00:00 UTC 2026,790.9148099999875,null,null,null,null,1333.0169997810094
Sat Apr 18 16:00:00 UTC 2026,790.9148099999875,null,null,null,null,1335.6921822627614
Sat Apr 18 17:00:00 UTC 2026,790.9148099999875,null,null,null,null,1338.367364744513
Sat Apr 18 18:00:00 UTC 2026,790.9148099999875,null,null,null,null,1341.0425472262648
Sat Apr 18 19:00:00 UTC 2026,790.9148099999875,null,null,null,null,1343.7177297080166
Sat Apr 18 20:00:00 UTC 2026,790.9148099999875,null,null,null,null,1346.3929121897686
Sat Apr 18 21:00:00 UTC 2026,790.9148099999875,null,null,null,null,1349.0680946715202
Sat Apr 18 22:00:00 UTC 2026,790.9148099999875,null,null,null,null,1351.7432771532722
Sat Apr 18 23:00:00 UTC 2026,790.9148099999875,null,null,null,null,1354.418459635024
